GEOID,rent2019,rent2020,value2019,value2020
01001020100,499.0,498.26506998275784,136100.0,139856.21067762695
01001020200,494.0,485.5048212587103,90500.0,93680.32420811731
01001020300,609.0,609.0,122600.0,112524.99999999999
01001020400,714.0,712.2129348901493,152700.0,152505.13834831957
01001020500,1027.0,1038.5096957647877,186900.0,186900.0
01001020600,725.0,725.0,103600.0,111466.84519206568
01001020700,626.0,609.4595936508272,82400.0,82207.17273853836
01001020801,445.0,463.1249949106064,322900.0,321630.80990012654
01001020802,586.0,539.948216859356,171500.0,171545.90516463976
01001020900,512.0,512.0,156900.0,158203.33226495134
01001021000,406.0,322.49999542884,116900.0,115684.88794569168
01001021100,249.0,250.69590706325573,88600.0,88626.20538014112
01003010100,513.0,508.99201614049,107600.0,83537.49999999999
01003010300,631.0,577.3661168965809,170400.0,167811.44403256272
01003010400,532.0,532.0,149200.0,149200.0
01003010500,370.0,360.0862866217317,148500.0,148645.02856929184
01003010701,1299.0,1332.9443319215632,270600.0,270866.2336739903
01003010703,1160.0,1158.1416195032473,240800.0,240708.64429029456
01003010704,1293.0,1354.649865615082,166600.0,166464.15705975585
01003010705,909.0,918.9514060760041,185000.0,180412.95593954515
01003010800,953.0,956.8450240502112,341000.0,342785.0955561297
01003010903,758.0,758.0,156300.0,143137.3903545537
01003010904,609.0,613.7969427923924,171000.0,152373.38569574128
01003010905,739.0,739.0,147900.0,147262.20986708687
01003010906,612.0,616.4992665633212,139400.0,139400.0
01003011000,554.0,580.6575688839794,158700.0,159053.83082415836
01003011101,967.0,967.0,247800.0,247338.7871205986
01003011102,700.0,730.749996071682,228300.0,174667.76783855603
01003011201,1265.0,1265.0,337300.0,337610.18851072533
01003011202,937.0,937.0,268300.0,268300.0
01003011300,678.0,678.0,266100.0,266100.0
01003011401,694.0,700.7439243816788,170900.0,170626.89315403788
01003011403,861.0,843.2209890579484,227500.0,227488.80927946905
01003011405,1110.0,1230.759597160438,399300.0,395647.11352966353
01003011406,891.0,844.5097609766046,224200.0,224200.0
01003011407,919.0,860.0028821263397,241100.0,241046.79795123928
01003011501,531.0,549.8580211140521,163000.0,162312.5578540263
01003011502,687.0,684.9903578617792,180400.0,180455.16005446383
01003011601,713.0,713.0,167700.0,167768.35376927935
01003011602,833.0,839.1255890333633,143900.0,134662.49999999997
01005950100,509.0,509.0,89800.0,89022.23290508188
01005950200,303.0,274.99999456573585,101700.0,102465.22592749588
01005950300,332.0,330.034608813952,70700.0,70512.50153529135
01005950400,294.0,299.40597936815885,51100.0,54929.829813805605
01005950500,456.0,439.61786350011226,79600.0,79600.0
01005950600,429.0,437.067824861048,88200.0,88126.33127241602
01005950700,291.0,274.0033231845044,137500.0,134062.49999999997
01005950800,546.0,546.9896422129593,142600.0,141862.43456530408
01005950900,320.0,303.99999509246464,111400.0,111400.0
01007010001,613.0,607.2521885897296,73800.0,73800.0
01007010002,495.0,495.0,104500.0,104500.0
01007010003,569.0,544.4832321892311,98100.0,99826.74929819592
01007010004,388.0,385.9176397038021,78200.0,85575.03340550835
01009050101,542.0,557.7243113214124,121600.0,120962.49999999999
01009050102,399.0,386.5434250454367,166000.0,164711.28914187875
01009050200,447.0,447.0,105500.0,105743.22374743904
01009050300,417.0,417.0,94600.0,91737.50401302036
01009050400,379.0,379.0,114500.0,114500.0
01009050500,422.0,412.7296373043149,141800.0,141638.0887032468
01009050602,486.0,486.0,155600.0,155371.20443109117
01009050700,482.0,482.8124091273572,114800.0,105752.50365449944
01011952200,438.0,441.352948131224,68200.0,70812.49999999999
01013952700,316.0,331.7499949696149,165000.0,165920.27555295645
01013952800,582.0,580.4200528215548,111500.0,111172.51947852007
